Categoria,Subcategoria,Fato_Ou_Resposta
Resumo,Geral,"A Seleção Brasileira é a única Pentacampeã Mundial (1958, 1962, 1970, 1994, 2002) e possui 2 Ouros Olímpicos (2016, 2020). Ídolos históricos incluem: Pelé (Rei), Garrincha, Zico, Romário, Ronaldo Fenômeno, Ronaldinho, Rivaldo, Cafu, Roberto Carlos e Taffarel. O maior artilheiro oficial é Neymar. No feminino, a rainha é Marta. A maior rivalidade é contra a Argentina."
Jogadores,Goleiro,Gilmar dos Santos Neves: O goleiro bicampeão mundial (1958 e 1962). Conhecido pela elegância e segurança.
Jogadores,Goleiro,"Taffarel: Herói do Tetra (1994). Eternizado pelo bordão 'Vai que é tua, Taffarel!'. Defendeu pênaltis decisivos contra Itália e Holanda."
Jogadores,Goleiro,"Marcos: O 'São Marcos', goleiro do Penta (2002). Fez 'milagres' na final contra a Alemanha. Ídolo do Palmeiras."
Jogadores,Goleiro,"Dida: Especialista em pegar pênaltis, jogou as Copas de 98, 2002 e 2006. Conhecido pela frieza."
Jogadores,Goleiro,Alisson Becker: Goleiro titular nas Copas de 2018 e 2022. Considerado um dos melhores do mundo com os pés.
Jogadores,Lateral,"Carlos Alberto Torres: O 'Capita'. Capitão do Tri em 70, marcou o gol mais bonito da história das finais de Copa."
Jogadores,Lateral,"Cafu: Recordista de jogos (150). Capitão do Penta (2002). Único ser humano a jogar 3 finais de Copa seguidas (94, 98, 02)."
Jogadores,Lateral,Roberto Carlos: Dono de um chute de esquerda potentíssimo. Campeão em 2002. Fez o famoso 'gol impossível' contra a França.
Jogadores,Lateral,"Nilton Santos: A 'Enciclopédia do Futebol'. Revolucionou a posição de lateral em 58 e 62, sendo o primeiro a atacar."
Jogadores,Lateral,"Daniel Alves: O maior vencedor de títulos da história do futebol. Disputou as Copas de 2010, 2014 e 2022."
Jogadores,Lateral,"Marcelo: Lateral extremamente habilidoso, titular nas Copas de 2014 e 2018."
Jogadores,Zagueiro,Bellini: Capitão de 1958. Inventou o gesto de levantar a taça acima da cabeça para os fotógrafos verem.
Jogadores,Zagueiro,Mauro Ramos: Capitão do Bi em 1962. Zagueiro clássico e técnico.
Jogadores,Zagueiro,Lucio: O 'Xerife'. Zagueiro de muita força física e arrancadas ao ataque. Campeão em 2002.
Jogadores,Zagueiro,Thiago Silva: O 'Monstro'. Zagueiro técnico que disputou 4 Copas (2010-2022) e foi capitão em 2014.
Jogadores,Zagueiro,"Aldair: Zagueiro clássico e elegante, campeão do mundo em 1994."
Jogadores,Meia,Didi: O 'Príncipe Etíope'. Inventor da 'Folha Seca' (chute com curva). Eleito o melhor jogador da Copa de 1958.
Jogadores,Meia,Gérson: O 'Canhotinha de Ouro'. O cérebro do time de 1970. Fez um golaço na final contra a Itália.
Jogadores,Meia,Rivellino: A 'Patada Atômica'. Inventou o drible 'elástico'. Campeão em 70 e estrela em 74 e 78.
Jogadores,Meia,"Zico: O 'Galinho de Quintino'. O maior craque dos anos 80. Exímio cobrador de faltas. Jogou as Copas de 78, 82 e 86."
Jogadores,Meia,Sócrates: O 'Doutor'. Capitão de 82. Jogava de cabeça erguida e dava passes de calcanhar geniais.
Jogadores,Meia,Falcão: O 'Rei de Roma'. Volante elegante que jogava de terno. Craque em 82.
Jogadores,Meia,Dunga: Capitão do Tetra (94). Símbolo de raça e liderança. Depois virou técnico da Seleção em 2010.
Jogadores,Meia,"Rivaldo: O gênio tímido. Foi decisivo no Penta (2002), participando dos dois gols da final. Eleito melhor do mundo em 1999."
Jogadores,Meia,"Ronaldinho Gaúcho: O 'Bruxo'. Campeão em 2002. Conhecido pela alegria, dribles mágicos e o gol de falta contra a Inglaterra."
Jogadores,Meia,Kaká: O último brasileiro eleito melhor do mundo (2007). Campeão em 2002 (reserva) e titular em 2006 e 2010.
Jogadores,Atacante,Pelé: O Rei do Futebol. 3 Copas do Mundo. Mais de 1200 gols na carreira. O maior de todos os tempos.
Jogadores,Atacante,Garrincha: O gênio das pernas tortas. O maior driblador da história. Ganhou a Copa de 62 praticamente sozinho.
Jogadores,Atacante,Vavá: O 'Peito de Aço'. Único jogador a marcar gols em duas finais de Copa seguidas (58 e 62) vencendo ambas.
Jogadores,Atacante,Jairzinho: O 'Furacão'. Único jogador a fazer gols em TODOS os jogos de uma Copa do Mundo (1970).
Jogadores,Atacante,"Tostão: O grande parceiro de Pelé em 70. Inteligente, jogava como um falso 9, abrindo espaço."
Jogadores,Atacante,Romário: O 'Baixinho'. Gênio da grande área. Ganhou a Copa de 94 sendo o melhor jogador do torneio.
Jogadores,Atacante,Bebeto: O parceiro ideal do Romário em 94. Famoso pela comemoração 'embala neném' contra a Holanda.
Jogadores,Atacante,Ronaldo Fenômeno: O camisa 9 perfeito. Superou lesões graves para ganhar a Copa de 2002 fazendo 2 gols na final.
Jogadores,Atacante,Adriano Imperador: Dono de um chute fortíssimo. Brilhou na Copa América de 2004 e Confederações 2005.
Jogadores,Atacante,Neymar Jr: O maior artilheiro da história da Seleção em jogos oficiais (79 gols). Campeão Olímpico em 2016.
Jogadores,Atacante,Vinicius Jr: A estrela atual. Autor do gol do título da Champions pelo Real Madrid e esperança para 2026.
Jogadores,Lenda,Arthur Friedenreich: O primeiro grande craque brasileiro (anos 1910/20). Dizem ter feito mais gols que Pelé (dados não oficiais).
Jogadores,Lenda,Leônidas da Silva: O 'Diamante Negro'. Inventor da bicicleta. Artilheiro da Copa de 1938.
Jogadores,Lenda,"Zizinho: O ídolo do Pelé. Craque da Copa de 1950, eleito o melhor jogador mesmo com a derrota."
Jogadores,Lenda,Ademir de Menezes: O 'Queixada'. Artilheiro da Copa de 1950 com 9 gols.
História,1958,Campeão Mundial na Suécia. O mundo conhece Pelé e Garrincha.
História,1962,Bicampeão no Chile. Garrincha comanda o time sem Pelé.
História,1970,Tricampeão no México. O time perfeito.
História,1994,Tetracampeão nos EUA. A era Romário.
História,2002,Pentacampeão na Coreia/Japão. A família Scolari e o renascimento de Ronaldo.
História,7x1,"A derrota trágica para a Alemanha em 2014, na semifinal em casa."
História,Olimpíadas,Ouro no Rio 2016 e Tóquio 2020.
Feminino,Marta,Marta: A Rainha. 6x melhor do mundo. Maior artilheira de todas as Copas.
Feminino,Formiga,Formiga: A incansável. 7 Copas do Mundo disputadas.
Feminino,Cristiane,Cristiane: Artilheira histórica das Olimpíadas.

Resumo,Geral,"A Seleção Brasileira é a única Pentacampeã Mundial (1958, 1962, 1970, 1994, 2002) e possui 2 Ouros Olímpicos (2016, 2020). Ídolos históricos incluem: Pelé (Rei), Garrincha, Zico, Romário, Ronaldo Fenômeno, Ronaldinho, Rivaldo, Cafu, Roberto Carlos e Taffarel. O maior artilheiro oficial é Neymar. No feminino, a rainha é Marta."
Jogadores,Goleiro,"Gilmar dos Santos Neves: Goleiro bicampeão mundial (1958 e 1962). Lenda do Santos e Corinthians."
Jogadores,Goleiro,"Taffarel: Herói do Tetra (1994). Eternizado pelo bordão 'Vai que é tua, Taffarel!'. Defendeu pênaltis decisivos contra Itália e Holanda."
Jogadores,Goleiro,"Marcos: O 'São Marcos', goleiro do Penta (2002). Fez 'milagres' na final contra a Alemanha. Ídolo do Palmeiras."
Jogadores,Goleiro,"Dida: Especialista em pegar pênaltis, jogou as Copas de 98, 2002 e 2006. Frio e técnico."
Jogadores,Goleiro,"Alisson Becker: Goleiro titular nas Copas de 2018 e 2022. Um dos melhores do mundo com os pés."
Jogadores,Goleiro,"Weverton: Goleiro campeão olímpico (2016) e convocado para 2022."
Jogadores,Goleiro,"Ederson: Goleiro do Manchester City, titular em vários jogos recentes."
Jogadores,Lateral,"Carlos Alberto Torres: O 'Capita'. Capitão do Tri em 70, marcou o gol mais bonito da história das finais."
Jogadores,Lateral,"Cafu: Recordista de jogos (150). Capitão do Penta (2002). Único ser humano a jogar 3 finais de Copa seguidas (94, 98, 02)."
Jogadores,Lateral,"Roberto Carlos: Lateral esquerdo com chute de esquerda potentíssimo. Campeão em 2002."
Jogadores,Lateral,"Nilton Santos: A 'Enciclopédia'. Revolucionou a posição de lateral em 58 e 62, sendo o primeiro a atacar."
Jogadores,Lateral,"Daniel Alves: O maior vencedor de títulos da história do futebol. Disputou as Copas de 2010, 2014 e 2022."
Jogadores,Lateral,"Marcelo: Lateral extremamente habilidoso, titular nas Copas de 2014 e 2018."
Jogadores,Zagueiro,"Bellini: Capitão de 1958. Inventou o gesto de levantar a taça acima da cabeça."
Jogadores,Zagueiro,"Mauro Ramos: Capitão do Bi em 1962. Zagueiro clássico."
Jogadores,Zagueiro,"Lucio: O 'Xerife'. Zagueiro de muita força física e arrancadas ao ataque. Campeão em 2002."
Jogadores,Zagueiro,"Thiago Silva: O 'Monstro'. Zagueiro técnico, capitão na Copa de 2014."
Jogadores,Zagueiro,"Aldair: Zagueiro clássico e elegante, campeão do mundo em 1994."
Jogadores,Zagueiro,"Marquinhos: Zagueiro titular nas Copas de 2018 e 2022."
Jogadores,Zagueiro,"Éder Militão: Zagueiro veloz do Real Madrid e Seleção."
Jogadores,Meia,"Didi: O 'Folha Seca'. Inventor do chute com curva. Eleito o melhor jogador da Copa de 1958."
Jogadores,Meia,"Gérson: O 'Canhotinha de Ouro'. O cérebro do time de 1970."
Jogadores,Meia,"Rivellino: A 'Patada Atômica'. Inventou o drible 'elástico'. Campeão em 70."
Jogadores,Meia,"Zico: O 'Galinho de Quintino'. Maior craque dos anos 80. Mestre das faltas e ídolo do Flamengo."
Jogadores,Meia,"Sócrates: O 'Doutor'. Capitão de 82. Jogava de cabeça erguida e calcanhar."
Jogadores,Meia,"Falcão: O 'Rei de Roma'. Volante elegante que jogava de terno em 82."
Jogadores,Meia,"Dunga: Capitão do Tetra (94). Símbolo de raça e liderança."
Jogadores,Meia,"Rivaldo: O gênio tímido. Decisivo no Penta (2002). Eleito melhor do mundo em 1999."
Jogadores,Meia,"Ronaldinho Gaúcho: O 'Bruxo'. Campeão em 2002. Conhecido pela alegria e dribles mágicos."
Jogadores,Meia,"Kaká: Melhor do mundo em 2007. Campeão em 2002 (reserva) e titular em 2006 e 2010."
Jogadores,Meia,"Casemiro: Volante multicampeão, pilar defensivo da geração 2018-2022."
Jogadores,Meia,"Lucas Paquetá: Meia criativo, titular na Copa de 2022."
Jogadores,Atacante,"Pelé: Edson Arantes do Nascimento. O Rei do Futebol. Tricampeão (58, 62, 70). Mais de 1200 gols na carreira."
Jogadores,Atacante,"Garrincha: Mané Garrincha. O Anjo das Pernas Tortas. O maior driblador. Ganhou a Copa de 62 praticamente sozinho."
Jogadores,Atacante,"Vavá: Peito de Aço. Fez gols em duas finais seguidas (58 e 62)."
Jogadores,Atacante,"Jairzinho: O Furacão. Fez gols em TODOS os jogos da Copa de 1970."
Jogadores,Atacante,"Tostão: O grande parceiro de Pelé em 70. Inteligente e técnico."
Jogadores,Atacante,"Romário: O Baixinho. Gênio da grande área. Herói do Tetra em 94."
Jogadores,Atacante,"Bebeto: Parceiro do Romário em 94. Famoso pelo gol 'embala neném'."
Jogadores,Atacante,"Ronaldo Fenômeno: O camisa 9 perfeito. Artilheiro e herói do Penta em 2002 com 2 gols na final."
Jogadores,Atacante,"Adriano Imperador: Dono de um chute fortíssimo. Brilhou na Copa América 2004."
Jogadores,Atacante,"Neymar Jr: Maior artilheiro oficial da Seleção (79 gols). Campeão Olímpico 2016."
Jogadores,Atacante,"Vinicius Jr: A estrela atual. Autor de gol em final de Champions e esperança para 2026."
Jogadores,Atacante,"Richarlison: O 'Pombo'. Fez o gol de voleio mais bonito da Copa de 2022."
Jogadores,Atacante,"Endrick: Jovem promessa, marcou contra Inglaterra e Espanha aos 17 anos."
Jogadores,Atacante,"Rodrygo: O 'Rayo'. Atacante versátil e decisivo do Real Madrid."
Jogadores,Lenda,"Leônidas da Silva: O Diamante Negro. Inventor da bicicleta. Artilheiro da Copa de 1938."
Jogadores,Lenda,"Zizinho: Mestre Ziza. Ídolo do Pelé. Melhor jogador da Copa de 1950."
